Clasificacion,Nombre Local,Distribuición,Pagina Web
Sin gluten o para veganos,Babar,"Colina, Independencia, La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia, Recoleta, Santiago Centro y Vitacura",https://www.babar.cl/
Sin gluten o para veganos,Beegan,"Colina, La Reina, Las Condes, Lo Banechea, Ñuñoa, Providencia y Vitacura",https://www.beegan.cl/
Sin gluten o para veganos,BeRoots,A toda la Región Metropolitana,http://www.beroots.cl/
Sin gluten o para veganos,BioMercado,A toda la Región Metropolitana,http://www.biomercado.cl/
Sin gluten o para veganos,De Pura Madre,"Las Condes, Ñuñoa, Providencia y Vitacura",https://www.depuramadre.cl/
Sin gluten o para veganos,Dellanatura,A toda la Región Metropolitana,https://www.dellanatura.cl/
Sin gluten o para veganos,Deli-Hummus,"La Reina, Las Condes, Lo Barnechea, Ñuñoa, Providencia y Vitacura",https://www.emol.com/noticias/Economia/2020/03/27/981227/%3Chttps://www.delihummus.cl/?v=5bc574a47246
Sin gluten o para veganos,El Pueblo,A toda la Región Metropolitana,http://www.productoselpueblo.cl/
Sin gluten o para veganos,Emporio Altorio,A toda la Región Metropolitana,http://www.emporioaltorio.com/
Sin gluten o para veganos,Emporio Ser,A toda la Región Metropolitana,https://www.instagram.com/emporio_ser/
Sin gluten o para veganos,Floridavegan,La Florida y Puente Alto,https://www.instagram.com/floridavegan.chile/
Sin gluten o para veganos,Global Life,A toda la Región Metropolitana,https://www.global-life.cl/
Sin gluten o para veganos,Mermos,A toda la Región Metropolitana,https://www.mermoz.cl/
Sin gluten o para veganos,Mia Soul Market,A toda la Región Metropolitana,https://www.instagram.com/miasoulmarket/
Sin gluten o para veganos,Mizos,A toda la Región Metropolitana,https://www.mizos.cl/
Sin gluten o para veganos,Pafundesi,A toda la Región Metropolitana,http://www.pafundesi.com/
Sin gluten o para veganos,Pronamed,A toda la Región Metropolitana,http://www.pronamed.cl/
Sin gluten o para veganos,Protteina Food,"La Reina, Las Condes, Lo Barnechea, Santiago Centro y Vitacura",https://protteina.com/
Sin gluten o para veganos,P&M Alimenta,A toda la Región Metropolitana,https://pmfoods.cl/
Sin gluten o para veganos,Regional Food,A toda la Región Metropolitana,https://www.regionalfood.cl/
Sin gluten o para veganos,Rumbo Verde,"La Reina, Las Condes, Ñuñoa, Providencia y Vitacura.",https://rumboverde.cl/
Sin gluten o para veganos,Smart Snack,A toda la Región Metropolitana,https://smartsnack.cl/
Sin gluten o para veganos,Tremus,A toda la Región Metropolitana,https://www.tremus.cl/
Sin gluten o para veganos,Terrium Biosnack,A toda la Región Metropolitana,https://www.instagram.com/terrium_biosnack/
Sin gluten o para veganos,The Market,"La Reina, Las Condes, Lo Barnechea, Providencia y Vitacura",https://www.themarketchile.cl/
Sin gluten o para veganos,This is Vegan with Love,A toda la Región Metropolitana,https://www.instagram.com/thisisvegan.cl/
