Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados,Fecha
Coquimbo,4,La Higuera,4104,4450.0,0.0,01-04-2020
Coquimbo,4,La Serena,4101,249656.0,0.0,01-04-2020
Coquimbo,4,Los Vilos,4203,23374.0,0.0,01-04-2020
Coquimbo,4,Monte Patria,4303,32527.0,0.0,01-04-2020
Coquimbo,4,Ovalle,4301,121269.0,4.0,01-04-2020
Coquimbo,4,Paiguano,4105,4675.0,0.0,01-04-2020
Coquimbo,4,Punitaqui,4304,12165.0,0.0,01-04-2020
Coquimbo,4,Rio Hurtado,4305,4372.0,0.0,01-04-2020
Coquimbo,4,Salamanca,4204,29110.0,0.0,01-04-2020
Coquimbo,4,Vicuna,4106,29741.0,0.0,01-04-2020
Valparaíso,5,Algarrobo,5602,15174.0,7.0,01-04-2020
Valparaíso,5,Cabildo,5402,20663.0,0.0,01-04-2020
Valparaíso,5,Calera,5502,53591.0,6.0,01-04-2020
Valparaíso,5,Calle Larga,5302,16482.0,0.0,01-04-2020
Valparaíso,5,Cartagena,5603,25357.0,0.0,01-04-2020
Valparaíso,5,Casablanca,5102,29170.0,0.0,01-04-2020
Valparaíso,5,Catemu,5702,15213.0,0.0,01-04-2020
Valparaíso,5,Concon,5103,45889.0,0.0,01-04-2020
Valparaíso,5,El Quisco,5604,17742.0,0.0,01-04-2020
Valparaíso,5,El Tabo,5605,14338.0,0.0,01-04-2020
Valparaíso,5,Hijuelas,5503,19099.0,0.0,01-04-2020
Valparaíso,5,Isla de Pascua,5201,8277.0,5.0,01-04-2020
Valparaíso,5,Juan Fernandez,5104,1033.0,0.0,01-04-2020
Valparaíso,5,La Cruz,5504,25321.0,0.0,01-04-2020
Valparaíso,5,La Ligua,5401,37739.0,0.0,01-04-2020
Valparaíso,5,Limache,5802,49931.0,0.0,01-04-2020
Valparaíso,5,Llaillay,5703,26533.0,0.0,01-04-2020
Valparaíso,5,Los Andes,5301,68093.0,0.0,01-04-2020
Valparaíso,5,Nogales,5506,23490.0,0.0,01-04-2020
